bedrooms,location,area,bathrooms,parking,price
2.0,Sea Point,88.0,2,1,3495000.0
3.0,Sea Point,138.0,2,2,4350000.0
2.0,Sea Point,79.0,2,1,3795000.0
3.0,Sea Point,114.0,2,2,5750000.0
3.0,Sea Point,143.0,2,2,6495000.0
2.0,Sea Point,172.0,2,2,6850000.0
3.0,Sea Point,659.0,3.5,3,32950000.0
2.0,Sea Point,115.0,2,2,6100000.0
4.0,Sea Point,479.0,4,2,19995000.0
1.0,Sea Point,108.0,1.5,2,3450000.0
1.0,Sea Point,108.0,1.5,2,3450000.0
2.0,Sea Point,87.0,2,2,3600000.0
2.0,Sea Point,160.0,2,2,11950000.0
4.0,Sea Point,224.0,2,2,12995000.0
2.0,Sea Point,80.0,2,1,4995000.0
1.0,Sea Point,70.0,1,1,2999000.0
2.0,Sea Point,47.0,1,1,2880000.0
2.0,Sea Point,153.0,2,1,6950000.0
2.0,Sea Point,139.0,2.5,2,7900000.0
2.0,Sea Point,83.0,2,2,6250000.0
1.0,Sea Point,61.0,1,1,2907000.0
2.0,Sea Point,110.0,2,2,5499000.0
3.0,Sea Point,189.0,3,3,9250000.0
3.0,Sea Point,189.0,3,3,9250000.0
2.0,Sea Point,133.0,2,2,7950000.0
3.0,Sea Point,126.0,2,2,5499000.0
2.0,Sea Point,165.0,2,2,8650000.0
